Rank,Country,Year
1, England,2016
2, Denmark,2016
3, Spain,2016
4, France,2016
5, Sweden,2016
6, Belgium,2016
7, Wales,2016
8, Italy,2016
9, Norway,2016
10, Germany,2016
11, Switzerland,2016
12, Scotland,2016
13, Poland,2016
14, Finland,2016
15, Vikings,2016
16, Hungary,2016
1, England,2017
2, Italy,2017
3, France,2017
4, Switzerland,2017
5, Denmark,2017
6, Malta,2017
7, Sweden,2017
8, Norway,2017
9, Germany,2017
10, Spain,2017
11, Poland,2017
12, Scotland,2017
13, Pirate,2017
14, Wales,2017
15, Finland,2017
16, Belgium,2017
17, Portugal,2017
18, Hungary,2017
1, England,2018
2, Spain,2018
3, France,2018
4, Wales,2018
5, Malta,2018
6, Switzerland,2018
7, Italy,2018
8, Poland,2018
9, Finland,2018
10, Germany,2018
11, Scotland,2018
12, Ireland,2018
13, Denmark,2018
14, Sweden,2018
15, Portugal,2018
16, Austria,2018
17, Norway,2018
18, Belgium,2018
19, Netherlands,2018
20, Hungary,2018
21, Dragons Team,2018
22, Greece,2018
